switch3,192.168.1.10,switch,Data Center A,online
router2,192.168.1.11,router,Data Center A,offline
firewall2,192.168.1.12,firewall,Data Center A,online
switch3,192.168.1.10,switch,Data Center A,online
router2,192.168.1.11,router,Data Center A,offline
firewall2,192.168.1.12,firewall,Data Center A,online
switch3,192.168.1.10,switch,Data Center A,online
router2,192.168.1.11,router,Data Center A,offline
firewall2,192.168.1.12,firewall,Data Center A,online
switch3,192.168.1.10,switch,Data Center A,online
router2,192.168.1.11,router,Data Center A,offline
firewall2,192.168.1.12,firewall,Data Center A,online
switch3,192.168.1.10,switch,Data Center A,online
router2,192.168.1.11,router,Data Center A,offline
firewall2,192.168.1.12,firewall,Data Center A,online
switch3,192.168.1.10,switch,Data Center A,online
router2,192.168.1.11,router,Data Center A,offline
firewall2,192.168.1.12,firewall,Data Center A,online
switch3,192.168.1.10,switch,Data Center A,online
router2,192.168.1.11,router,Data Center A,offline
firewall2,192.168.1.12,firewall,Data Center A,online
switch3,192.168.1.10,switch,Data Center A,online
router2,192.168.1.11,router,Data Center A,offline
firewall2,192.168.1.12,firewall,Data Center A,online
switch3,192.168.1.10,switch,Data Center A,online
router2,192.168.1.11,router,Data Center A,offline
firewall2,192.168.1.12,firewall,Data Center A,online
